account_id,customer_id,account_created_at,account_status,account_type,scenario_id,scenario_type,ground_truth_label
ACC_000001,CUST_000001,2026-01-28T19:44:35,ACTIVE,SAVINGS,CHAL_B_OFFICE_IP_004,LEGITIMATE_LOOKALIKE,legitimate
ACC_000002,CUST_000002,2025-10-24T18:24:26,ACTIVE,SAVINGS,CHAL_H_RING_002,COMBINED_RING,ring
ACC_000003,CUST_000003,2025-11-27T01:20:15,ACTIVE,SAVINGS,CHAL_E_RUSH_HOUR_004,LEGITIMATE_LOOKALIKE,legitimate
ACC_000004,CUST_000004,2025-10-10T03:07:50,ACTIVE,CURRENT,CHAL_E_RUSH_HOUR_004,LEGITIMATE_LOOKALIKE,legitimate
ACC_000005,CUST_000005,2026-01-21T17:38:12,ACTIVE,SAVINGS,CHAL_B_OFFICE_IP_005,LEGITIMATE_LOOKALIKE,legitimate
ACC_000006,CUST_000006,2025-06-09T16:28:01,ACTIVE,CURRENT,CHAL_D_FLASH_SALE_004,LEGITIMATE_LOOKALIKE,legitimate
ACC_000007,CUST_000007,2025-11-22T08:02:00,ACTIVE,SAVINGS,CHAL_D_FLASH_SALE_003,LEGITIMATE_LOOKALIKE,legitimate
ACC_000008,CUST_000008,2026-02-21T18:06:00,ACTIVE,CURRENT,CHAL_G_COMPOUND_003,LEGITIMATE_LOOKALIKE,legitimate
ACC_000009,CUST_000009,2025-12-31T18:17:25,ACTIVE,SAVINGS,CHAL_D_FLASH_SALE_003,LEGITIMATE_LOOKALIKE,legitimate
ACC_000010,CUST_000010,2026-02-28T15:06:16,ACTIVE,CURRENT,CHAL_H_RING_003,COMBINED_RING,ring
ACC_000011,CUST_000011,2026-01-16T04:20:19,ACTIVE,CURRENT,CHAL_H_RING_004,COMBINED_RING,ring
ACC_000012,CUST_000012,2026-01-10T21:10:33,ACTIVE,SAVINGS,CHAL_E_RUSH_HOUR_002,LEGITIMATE_LOOKALIKE,legitimate
ACC_000013,CUST_000013,2025-08-02T05:54:41,RESTRICTED,SAVINGS,CHAL_G_COMPOUND_004,LEGITIMATE_LOOKALIKE,legitimate
ACC_000014,CUST_000014,2026-02-16T10:09:36,ACTIVE,SAVINGS,CHAL_G_COMPOUND_002,LEGITIMATE_LOOKALIKE,legitimate
ACC_000015,CUST_000015,2026-01-25T15:50:53,ACTIVE,SAVINGS,CHAL_H_RING_003,COMBINED_RING,ring
ACC_000016,CUST_000016,2025-10-08T10:09:23,ACTIVE,SAVINGS,CHAL_D_FLASH_SALE_002,LEGITIMATE_LOOKALIKE,legitimate
ACC_000017,CUST_000017,2026-01-30T01:20:44,ACTIVE,SAVINGS,CHAL_F_COMMUNITY_005,LEGITIMATE_LOOKALIKE,legitimate
