device_id,device_type,device_created_at,device_os,fingerprint_hash
DEV_000001,DESKTOP_WINDOWS,2025-02-09T02:46:42,Windows 11,FP_6abfd83107bb735c
DEV_000002,DESKTOP_MAC,2025-07-07T15:52:22,macOS Sonoma,FP_cd9b6faa87fbd063
DEV_000003,MOBILE_IOS,2025-09-01T08:54:06,iOS 16.6,FP_9e3848a53b76e66c
DEV_000004,MOBILE_IOS,2025-10-10T04:50:36,iOS 16.6,FP_b253082b2e4d2054
DEV_000005,MOBILE_IOS,2025-07-08T16:30:20,iOS 16.6,FP_c266f03c7d2c0e56
DEV_000006,MOBILE_IOS,2025-07-12T14:51:04,iOS 17.4,FP_c9cf2c9d7c17bad7
DEV_000007,DESKTOP_WINDOWS,2025-07-17T23:54:20,Windows 11,FP_7d78d1342c983e89
DEV_000008,MOBILE_IOS,2025-02-13T16:58:41,iOS 17.4,FP_5312e76e3765db18
DEV_000009,MOBILE_ANDROID,2025-03-23T07:05:38,Android 14,FP_3121c440463988d4
DEV_000010,MOBILE_IOS,2025-10-19T23:05:00,iOS 17.4,FP_5e0ab5414ba2f65a
DEV_000011,MOBILE_ANDROID,2025-04-13T17:51:52,Android 13,FP_445b9c5a3be385e3
DEV_000012,DESKTOP_MAC,2025-02-27T12:22:56,macOS Sonoma,FP_2d14ba01f5ce588c
DEV_000013,MOBILE_ANDROID,2025-02-15T04:11:18,Android 13,FP_b8e078155f3a617f
DEV_000014,MOBILE_IOS,2025-05-06T00:13:29,iOS 16.6,FP_f2bca9e8d7bb6b79
DEV_000015,DESKTOP_MAC,2025-08-07T11:14:29,macOS Sonoma,FP_f7bd1ed7b9353f07
DEV_000016,DESKTOP_WINDOWS,2025-12-19T19:34:28,Windows 11,FP_a1882f9607a7a688
DEV_000017,MOBILE_IOS,2026-01-19T16:21:32,iOS 16.6,FP_8555879002eef0ee
DEV_000018,MOBILE_IOS,2025-09-05T17:17:22,iOS 17.4,FP_c9e35849b84aaf41
DEV_000019,DESKTOP_WINDOWS,2025-03-10T01:01:39,Windows 11,FP_3549e038c594c83a
DEV_000020,DESKTOP_WINDOWS,2025-03-12T06:56:11,Windows 11,FP_aa23070aca8d877f
DEV_000021,MOBILE_IOS,2025-11-19T06:31:35,iOS 17.4,FP_ddf9df7c72f5d3b3
DEV_000022,DESKTOP_WINDOWS,2025-12-26T02:49:57,Windows 11,FP_a7d4bfbcd61ec9bd
DEV_000023,MOBILE_ANDROID,2025-03-26T09:47:21,Android 13,FP_b029cc193de9c44c
DEV_000024,MOBILE_ANDROID,2026-01-07T18:44:58,Android 14,FP_9ae4b6f26401f6c1
DEV_000025,DESKTOP_WINDOWS,2025-03-12T14:14:42,Windows 11,FP_ef53d4e70b8d5692
DEV_000026,MOBILE_IOS,2025-04-15T02:31:03,iOS 17.4,FP_4bfa8c24f1042f6e
DEV_000027,MOBILE_IOS,2025-12-06T05:01:05,iOS 16.6,FP_b5d6738567af021d
DEV_000028,DESKTOP_WINDOWS,2025-08-01T15:41:43,Windows 11,FP_09833a994197668a
DEV_000029,MOBILE_IOS,2025-07-12T06:28:29,iOS 17.4,FP_826f6d88bd0e8e74
