ip_id,ip_address,ip_type,asn_org,country
IP_000001,103.89.9.103,RESIDENTIAL,Airtel Broadband,IN
IP_000002,157.90.10.104,RESIDENTIAL,Tata Play Fiber,IN
IP_000003,157.91.11.105,CELLULAR,Airtel 4G/5G,IN
IP_000004,157.92.12.106,RESIDENTIAL,ACT Fibernet,IN
IP_000005,128.93.13.107,VPN_PROXY,Cloudflare WARP Anycast,US
IP_000006,157.94.14.108,RESIDENTIAL,Airtel Broadband,IN
IP_000007,103.95.15.109,CELLULAR,Jio 5G Mobile,IN
IP_000008,106.96.16.110,RESIDENTIAL,ACT Fibernet,IN
IP_000009,182.97.17.111,RESIDENTIAL,Airtel Broadband,IN
IP_000010,117.98.18.112,CELLULAR,Jio 5G Mobile,IN
IP_000011,103.99.19.113,RESIDENTIAL,Tata Play Fiber,IN
IP_000012,49.100.20.114,RESIDENTIAL,ACT Fibernet,IN
IP_000013,117.101.21.115,CELLULAR,Jio 5G Mobile,IN
IP_000014,103.102.22.116,RESIDENTIAL,ACT Fibernet,IN
IP_000015,103.103.23.117,RESIDENTIAL,JioFiber Commercial,IN
IP_000016,157.104.24.118,RESIDENTIAL,Airtel Broadband,IN
IP_000017,157.105.25.119,CELLULAR,Airtel 4G/5G,IN
IP_000018,103.106.26.120,RESIDENTIAL,Airtel Broadband,IN
IP_000019,128.107.27.121,DATACENTER,Hetzner Online GmbH,DE
IP_000020,182.108.28.122,RESIDENTIAL,Tata Play Fiber,IN
IP_000021,106.109.29.123,CELLULAR,Vodafone Idea Mobile,IN
IP_000022,106.110.30.124,RESIDENTIAL,JioFiber Commercial,IN
IP_000023,103.111.31.125,CELLULAR,Jio 5G Mobile,IN
IP_000024,157.112.32.126,RESIDENTIAL,JioFiber Commercial,IN
IP_000025,128.113.33.127,VPN_PROXY,Nord Security Relays,SG
IP_000026,117.114.34.128,CELLULAR,Vodafone Idea Mobile,IN
IP_000027,157.115.35.129,RESIDENTIAL,Tata Play Fiber,IN
IP_000028,182.116.36.130,RESIDENTIAL,ACT Fibernet,IN
IP_000029,157.117.37.131,RESIDENTIAL,JioFiber Commercial,IN
IP_000030,49.118.38.132,RESIDENTIAL,ACT Fibernet,IN
IP_000031,103.119.39.133,CELLULAR,Vodafone Idea Mobile,IN
IP_000032,157.120.40.134,RESIDENTIAL,Tata Play Fiber,IN
IP_000033,157.121.41.135,DATACENTER,Amazon AWS Datacenter,IN
IP_000034,182.122.42.136,RESIDENTIAL,ACT Fibernet,IN
IP_000035,103.123.43.137,RESIDENTIAL,Airtel Broadband,IN
IP_000036,49.124.44.138,RESIDENTIAL,Airtel Broadband,IN
IP_000037,103.125.45.139,DATACENTER,Amazon AWS Datacenter,IN
IP_000038,128.126.46.140,VPN_PROXY,Nord Security Relays,SG
IP_000039,117.127.47.141,CELLULAR,Jio 5G Mobile,IN
IP_000040,103.128.48.142,RESIDENTIAL,JioFiber Commercial,IN
IP_000041,182.129.49.143,RESIDENTIAL,ACT Fibernet,IN
IP_000042,182.130.50.144,CELLULAR,Vodafone Idea Mobile,IN
IP_000043,182.131.51.145,CELLULAR,Airtel 4G/5G,IN
IP_000044,49.132.52.146,DATACENTER,Google Cloud Compute,IN
IP_000045,182.133.53.147,CELLULAR,Airtel 4G/5G,IN
IP_000046,117.134.54.148,RESIDENTIAL,Airtel Broadband,IN
IP_000047,182.135.55.149,CELLULAR,Jio 5G Mobile,IN
IP_000048,128.136.56.150,DATACENTER,DigitalOcean Droplets,SG
IP_000049,106.137.57.151,CELLULAR,Vodafone Idea Mobile,IN
IP_000050,182.138.58.152,CELLULAR,Vodafone Idea Mobile,IN
IP_000051,157.139.59.153,RESIDENTIAL,ACT Fibernet,IN
IP_000052,157.140.60.154,CELLULAR,Airtel 4G/5G,IN
IP_000053,157.141.61.155,RESIDENTIAL,ACT Fibernet,IN
IP_000054,157.142.62.156,RESIDENTIAL,ACT Fibernet,IN
IP_000055,106.143.63.157,CELLULAR,Airtel 4G/5G,IN
IP_000056,103.144.64.158,RESIDENTIAL,Tata Play Fiber,IN
IP_000057,128.145.65.159,VPN_PROXY,Cloudflare WARP Anycast,US
IP_000058,182.146.66.160,CELLULAR,Airtel 4G/5G,IN
IP_000059,106.147.67.161,RESIDENTIAL,JioFiber Commercial,IN
IP_000060,117.148.68.162,RESIDENTIAL,ACT Fibernet,IN
IP_000061,182.149.69.163,CELLULAR,Vodafone Idea Mobile,IN
IP_000062,182.150.70.164,RESIDENTIAL,JioFiber Commercial,IN
IP_000063,117.151.71.165,RESIDENTIAL,JioFiber Commercial,IN
IP_000064,157.152.72.166,CELLULAR,Jio 5G Mobile,IN
IP_000065,49.153.73.167,RESIDENTIAL,Tata Play Fiber,IN
IP_000066,106.154.74.168,RESIDENTIAL,Tata Play Fiber,IN
IP_000067,106.155.75.169,RESIDENTIAL,Tata Play Fiber,IN
IP_000068,182.156.76.170,RESIDENTIAL,Tata Play Fiber,IN
IP_000069,49.157.77.171,RESIDENTIAL,Tata Play Fiber,IN
IP_000070,103.158.78.172,CELLULAR,Vodafone Idea Mobile,IN
