transaction_id,account_id,beneficiary_id,merchant_id,device_id,ip_id,timestamp,amount,transaction_type,status,channel,scenario_id,scenario_type,ground_truth_label
TXN_CHAL_000069,ACC_000135,,MER_000030,DEV_000029,IP_000023,2026-03-08T10:49:45,28000.0,PAYMENT_P2M,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000065,ACC_000046,,MER_000002,DEV_000029,IP_000023,2026-03-08T19:49:45,3500.0,PAYMENT_P2M,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000074,ACC_000087,,MER_000017,DEV_000029,IP_000023,2026-03-08T22:49:45,49000.0,PAYMENT_P2M,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000075,ACC_000087,,MER_000016,DEV_000029,IP_000023,2026-03-09T07:49:45,3500.0,PAYMENT_P2M,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000073,ACC_000087,BEN_000028,,DEV_000029,IP_000023,2026-03-09T08:49:45,28000.0,TRANSFER_P2P,SUCCESS,CARD,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000071,ACC_000135,,MER_000029,DEV_000029,IP_000023,2026-03-09T09:49:45,28000.0,PAYMENT_P2M,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000077,ACC_000036,,MER_000012,DEV_000029,IP_000023,2026-03-09T09:49:45,18000.0,PAYMENT_P2M,SUCCESS,UPI,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000072,ACC_000135,,MER_000012,DEV_000029,IP_000023,2026-03-09T11:49:45,18000.0,PAYMENT_P2M,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000067,ACC_000046,BEN_000047,,DEV_000029,IP_000023,2026-03-09T17:49:45,8500.0,TRANSFER_P2P,SUCCESS,CARD,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000070,ACC_000135,BEN_000023,,DEV_000029,IP_000023,2026-03-09T20:49:45,49000.0,TRANSFER_P2P,SUCCESS,UPI,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000066,ACC_000046,BEN_000043,,DEV_000029,IP_000023,2026-03-09T21:49:45,3500.0,TRANSFER_P2P,SUCCESS,CARD,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000068,ACC_000046,,MER_000001,DEV_000029,IP_000023,2026-03-09T23:49:45,28000.0,PAYMENT_P2M,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000080,ACC_000036,BEN_000042,,DEV_000029,IP_000023,2026-03-10T00:49:45,8500.0,TRANSFER_P2P,SUCCESS,UPI,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000079,ACC_000036,BEN_000030,,DEV_000029,IP_000023,2026-03-10T02:49:45,3500.0,TRANSFER_P2P,SUCCESS,NETBANKING,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000076,ACC_000087,,MER_000004,DEV_000029,IP_000023,2026-03-10T04:49:45,1500.0,PAYMENT_P2M,SUCCESS,CARD,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000078,ACC_000036,,MER_000006,DEV_000029,IP_000023,2026-03-10T06:49:45,1500.0,PAYMENT_P2M,SUCCESS,UPI,CHAL_A_FAMILY_005,LEGITIMATE_LOOKALIKE,legitimate
TXN_CHAL_000397,ACC_000128,,MER_000013,DEV_000057,IP_000017,2026-03-10T11:32:50,52000.0,PAYMENT_P2M,SUCCESS,UPI,CHAL_E_RUSH_HOUR_004,LEGITIMATE_LOOKALIKE,legitimate
