feature_name,importance,rank
tx_log_amount,0.377642,1
tx_amount,0.3146935,2
beh_hist_avg_amount,0.2000953,3
tx_day_of_month,0.023564896,4
beh_rolling_amount_24h,0.023318065,5
tx_is_transfer_p2p,0.01801566,6
tx_day_of_week,0.014935125,7
tx_channel_imps,0.009885937,8
beh_time_since_last_tx_sec,0.008059098,9
tx_hour,0.004120944,10
beh_tx_sequence_num,0.0021904674,11
beh_account_age_days,0.0021341639,12
tx_channel_upi,0.0005927468,13
tx_is_night,0.0004171926,14
tx_is_weekend,0.00033487089,15
tx_channel_netbanking,0.0,16
tx_channel_card,0.0,17
tx_has_beneficiary,0.0,18
beh_is_first_tx,0.0,19
tx_is_payment_p2m,0.0,20
tx_has_merchant,0.0,21
beh_hist_total_amount,0.0,22
beh_hist_tx_count,0.0,23
beh_hist_std_amount,0.0,24
beh_hist_max_amount,0.0,25
beh_amount_to_hist_avg_ratio,0.0,26
beh_rolling_tx_count_1h,0.0,27
beh_rolling_amount_1h,0.0,28
beh_rolling_tx_count_24h,0.0,29
beh_rolling_tx_count_7d,0.0,30
beh_rolling_amount_7d,0.0,31
beh_hist_unique_devices,0.0,32
beh_hist_unique_ips,0.0,33
beh_hist_unique_beneficiaries,0.0,34
beh_is_new_device,0.0,35
beh_is_new_ip,0.0,36
beh_is_new_beneficiary,0.0,37
