feature_name,importance,feature_group,rank
tx_log_amount,0.33914414,transaction,1
tx_amount,0.3059569,transaction,2
g_merchant_count,0.18690644,graph,3
g_total_tx_amount,0.10203268,graph,4
g_avg_tx_amount,0.045145556,graph,5
g_component_size,0.01220374,graph,6
tx_day_of_month,0.0034074776,transaction,7
beh_time_since_last_tx_sec,0.0007869997,behavior,8
tx_channel_upi,0.0007192453,transaction,9
g_shared_ip_accounts_count,0.00069177715,graph,10
g_connected_accounts_count,0.0006608109,graph,11
g_max_ip_sharing_degree,0.0005710406,graph,12
tx_hour,0.00044785344,transaction,13
g_shared_device_accounts_count,0.00033405237,graph,14
g_max_device_sharing_degree,0.00029568514,graph,15
tx_is_weekend,0.00024418926,transaction,16
beh_account_age_days,0.00023802201,behavior,17
tx_day_of_week,0.00021335403,transaction,18
tx_is_payment_p2m,0.0,transaction,19
tx_is_transfer_p2p,0.0,transaction,20
tx_channel_imps,0.0,transaction,21
tx_channel_card,0.0,transaction,22
tx_has_beneficiary,0.0,transaction,23
tx_channel_netbanking,0.0,transaction,24
tx_has_merchant,0.0,transaction,25
tx_is_night,0.0,transaction,26
beh_rolling_tx_count_1h,0.0,behavior,27
beh_amount_to_hist_avg_ratio,0.0,behavior,28
beh_hist_std_amount,0.0,behavior,29
beh_hist_max_amount,0.0,behavior,30
beh_hist_avg_amount,0.0,behavior,31
beh_hist_total_amount,0.0,behavior,32
beh_hist_tx_count,0.0,behavior,33
beh_is_first_tx,0.0,behavior,34
beh_tx_sequence_num,0.0,behavior,35
beh_rolling_amount_1h,0.0,behavior,36
beh_rolling_amount_24h,0.0,behavior,37
beh_rolling_tx_count_24h,0.0,behavior,38
beh_rolling_amount_7d,0.0,behavior,39
beh_hist_unique_devices,0.0,behavior,40
beh_hist_unique_ips,0.0,behavior,41
beh_rolling_tx_count_7d,0.0,behavior,42
g_ip_count,0.0,graph,43
g_device_count,0.0,graph,44
g_out_degree,0.0,graph,45
g_in_degree,0.0,graph,46
g_degree,0.0,graph,47
beh_is_new_beneficiary,0.0,behavior,48
beh_is_new_ip,0.0,behavior,49
beh_is_new_device,0.0,behavior,50
beh_hist_unique_beneficiaries,0.0,behavior,51
g_has_shared_device,0.0,graph,52
g_shared_beneficiary_accounts_count,0.0,graph,53
g_beneficiary_count,0.0,graph,54
g_has_shared_ip,0.0,graph,55
g_has_common_beneficiary,0.0,graph,56
g_max_beneficiary_sharing_degree,0.0,graph,57
g_tx_count,0.0,graph,58
