transaction_id,tx_amount,tx_log_amount,tx_hour,tx_day_of_week,tx_day_of_month,tx_is_weekend,tx_is_night,tx_is_transfer_p2p,tx_is_payment_p2m,tx_channel_upi,tx_channel_imps,tx_channel_card,tx_channel_netbanking,tx_has_beneficiary,tx_has_merchant,beh_account_age_days,beh_tx_sequence_num,beh_time_since_last_tx_sec,beh_is_first_tx,beh_hist_tx_count,beh_hist_total_amount,beh_hist_avg_amount,beh_hist_max_amount,beh_hist_std_amount,beh_amount_to_hist_avg_ratio,beh_rolling_tx_count_1h,beh_rolling_amount_1h,beh_rolling_tx_count_24h,beh_rolling_amount_24h,beh_rolling_tx_count_7d,beh_rolling_amount_7d,beh_hist_unique_devices,beh_hist_unique_ips,beh_hist_unique_beneficiaries,beh_is_new_device,beh_is_new_ip,beh_is_new_beneficiary
TXN_00000646,1159.95,7.056993914448375,19,2,31,0,0,1,0,0,0,0,1,1,0,25.84,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,1
TXN_00000679,1759.61,7.473415618892534,19,2,31,0,0,1,0,0,0,0,1,1,0,199.43,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,1
TXN_00001702,1480.43,7.300763116487949,19,2,31,0,0,0,1,1,0,0,0,0,1,59.41,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00001898,3656.8,8.204617152770476,20,2,31,0,0,0,1,0,0,0,1,0,1,144.67,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00001515,480.11,6.176095934188827,20,2,31,0,0,1,0,0,0,1,0,1,0,167.94,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,1
TXN_00000438,496.6,6.20979654142497,22,2,31,0,0,0,1,0,0,1,0,0,1,328.69,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00001673,1208.76,7.09817727180996,22,2,31,0,0,0,1,0,0,0,1,0,1,20.64,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00001531,1053.95,6.961248651422137,23,2,31,0,0,0,1,0,0,1,0,0,1,25.21,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00001975,1847.33,7.522037807688221,0,3,1,0,1,0,1,0,0,1,0,0,1,15.72,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00001565,81.07,4.4075725416416205,3,3,1,0,1,0,1,0,0,0,1,0,1,25.1,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00000784,1092.57,6.997202852699889,3,3,1,0,1,0,1,0,0,1,0,0,1,164.47,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00000328,120.31,4.798349252782828,4,3,1,0,1,0,1,1,0,0,0,0,1,12.78,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
TXN_00000981,659.13,6.492436785321457,4,3,1,0,1,0,1,0,0,1,0,0,1,62.43,1,-1.0,1,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0
