transaction_id,account_id,timestamp,scenario_type,ground_truth_label,is_ring
TXN_00000646,ACC_000054,2025-12-31T19:10:18+00:00,LEGITIMATE,legitimate,0
TXN_00000679,ACC_000175,2025-12-31T19:12:23+00:00,LEGITIMATE,legitimate,0
TXN_00001702,ACC_000295,2025-12-31T19:22:51+00:00,LEGITIMATE,legitimate,0
TXN_00001898,ACC_000253,2025-12-31T20:28:13+00:00,LEGITIMATE,legitimate,0
TXN_00001515,ACC_000288,2025-12-31T20:33:07+00:00,LEGITIMATE,legitimate,0
TXN_00000438,ACC_000444,2025-12-31T22:17:36+00:00,LEGITIMATE,legitimate,0
TXN_00001673,ACC_000297,2025-12-31T22:29:20+00:00,LEGITIMATE,legitimate,0
TXN_00001531,ACC_000009,2025-12-31T23:46:07+00:00,LEGITIMATE,legitimate,0
TXN_00001975,ACC_000357,2026-01-01T00:39:30+00:00,LEGITIMATE,legitimate,0
TXN_00001565,ACC_000345,2026-01-01T03:24:39+00:00,LEGITIMATE,legitimate,0
TXN_00000784,ACC_000187,2026-01-01T03:55:53+00:00,LEGITIMATE,legitimate,0
TXN_00000328,ACC_000353,2026-01-01T04:09:44+00:00,LEGITIMATE,legitimate,0
TXN_00000981,ACC_000204,2026-01-01T04:16:23+00:00,LEGITIMATE,legitimate,0
TXN_00001432,ACC_000246,2026-01-01T06:11:05+00:00,LEGITIMATE,legitimate,0
TXN_00000380,ACC_000301,2026-01-01T06:51:09+00:00,LEGITIMATE,legitimate,0
TXN_00001003,ACC_000337,2026-01-01T11:13:50+00:00,LEGITIMATE,legitimate,0
TXN_00000595,ACC_000220,2026-01-01T11:15:19+00:00,LEGITIMATE,legitimate,0
TXN_00000483,ACC_000198,2026-01-01T12:54:06+00:00,LEGITIMATE,legitimate,0
TXN_00001031,ACC_000175,2026-01-01T13:18:43+00:00,LEGITIMATE,legitimate,0
TXN_00000359,ACC_000041,2026-01-01T16:23:21+00:00,LEGITIMATE,legitimate,0
TXN_00001235,ACC_000271,2026-01-01T18:45:19+00:00,LEGITIMATE,legitimate,0
TXN_00000260,ACC_000412,2026-01-01T19:40:35+00:00,LEGITIMATE_LOOKALIKE,legitimate,0
TXN_00000413,ACC_000025,2026-01-01T20:31:17+00:00,LEGITIMATE,legitimate,0
TXN_00000453,ACC_000398,2026-01-01T20:46:41+00:00,LEGITIMATE,legitimate,0
TXN_00001809,ACC_000410,2026-01-01T22:00:22+00:00,LEGITIMATE,legitimate,0
TXN_00000408,ACC_000335,2026-01-01T22:30:48+00:00,LEGITIMATE,legitimate,0
