account_id,customer_id,account_created_at,account_status,account_type,scenario_id,scenario_type,ground_truth_label
ACC_000001,CUST_000001,2025-11-29T08:19:28,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000002,CUST_000002,2025-07-17T16:52:43,ACTIVE,SAVINGS,SCEN_SHARED_DEVICE_001,SHARED_DEVICE_RING,ring
ACC_000003,CUST_000003,2025-11-13T01:58:48,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000004,CUST_000004,2025-06-23T08:21:30,DORMANT,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000005,CUST_000005,2025-11-22T22:08:04,ACTIVE,SAVINGS,SCEN_LOOKALIKE_004,LEGITIMATE_LOOKALIKE,legitimate
ACC_000006,CUST_000006,2025-11-18T23:10:12,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000007,CUST_000007,2025-11-15T12:27:48,ACTIVE,CURRENT,SCEN_COMBINED_RING_002,COMBINED_RING,ring
ACC_000008,CUST_000008,2025-10-08T09:24:07,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000009,CUST_000009,2025-12-07T00:08:06,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000010,CUST_000010,2025-11-19T22:57:47,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000011,CUST_000011,2025-12-11T00:31:40,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000012,CUST_000012,2025-11-24T03:25:20,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000013,CUST_000013,2025-06-15T17:16:29,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000014,CUST_000014,2025-12-07T17:56:53,ACTIVE,SAVINGS,SCEN_RAPID_DISTRIB_003,RAPID_FUND_DISTRIBUTION_RING,ring
ACC_000015,CUST_000015,2025-08-08T04:17:29,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000016,CUST_000016,2025-04-21T17:41:47,ACTIVE,CURRENT,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000017,CUST_000017,2025-10-14T09:25:38,ACTIVE,CURRENT,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000018,CUST_000018,2025-12-21T20:21:47,ACTIVE,CURRENT,SCEN_COMBINED_RING_001,COMBINED_RING,ring
ACC_000019,CUST_000019,2025-09-04T11:11:05,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000020,CUST_000020,2025-09-26T22:09:52,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000021,CUST_000021,2025-09-02T12:50:08,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000022,CUST_000022,2025-10-23T18:38:21,ACTIVE,SAVINGS,SCEN_COMMON_BEN_001,COMMON_BENEFICIARY_RING,ring
ACC_000023,CUST_000023,2025-05-01T10:42:59,ACTIVE,CURRENT,SCEN_SHARED_DEVICE_001,SHARED_DEVICE_RING,ring
ACC_000024,CUST_000024,2025-09-17T04:53:42,ACTIVE,WALLET,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000025,CUST_000025,2025-06-07T19:27:29,ACTIVE,CURRENT,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000026,CUST_000026,2025-07-30T14:10:18,ACTIVE,SAVINGS,SCEN_COMBINED_RING_002,COMBINED_RING,ring
ACC_000027,CUST_000027,2025-12-05T08:50:18,ACTIVE,CURRENT,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000028,CUST_000028,2025-12-15T04:08:03,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000029,CUST_000029,2025-08-13T08:45:08,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000030,CUST_000030,2025-11-08T06:45:51,ACTIVE,CURRENT,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000031,CUST_000031,2025-11-17T20:14:03,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000032,CUST_000032,2025-09-03T00:29:40,ACTIVE,CURRENT,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000033,CUST_000033,2025-11-29T21:33:48,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000034,CUST_000034,2025-12-20T04:01:01,ACTIVE,SAVINGS,SCEN_COMBINED_RING_001,COMBINED_RING,ring
ACC_000035,CUST_000035,2025-11-06T19:02:36,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000036,CUST_000036,2025-07-03T18:49:51,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000037,CUST_000037,2025-12-07T14:08:40,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000038,CUST_000038,2025-11-29T13:26:30,ACTIVE,CURRENT,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000039,CUST_000039,2025-09-25T01:12:55,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000040,CUST_000040,2025-11-29T18:22:20,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000041,CUST_000041,2025-10-26T04:49:26,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000042,CUST_000042,2025-12-24T21:32:43,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000043,CUST_000043,2025-12-20T06:26:38,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000044,CUST_000044,2025-12-28T05:28:21,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
ACC_000045,CUST_000045,2025-06-16T06:33:24,ACTIVE,SAVINGS,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
