device_id,device_type,device_created_at,device_os,fingerprint_hash
DEV_000001,DESKTOP_MAC,2025-09-26T21:04:30,macOS Sonoma,FP_1ed932a951c3d38b
DEV_000002,DESKTOP_WINDOWS,2025-11-18T15:28:10,Windows 11,FP_40392beb2ad579ce
DEV_000003,MOBILE_ANDROID,2025-02-01T05:45:39,Android 13,FP_478771fc55f0db97
DEV_000004,MOBILE_IOS,2025-06-17T04:56:53,iOS 17.4,FP_ff936acae72a863b
DEV_000005,MOBILE_IOS,2025-08-16T16:04:28,iOS 17.4,FP_70f66df0d9be1a00
DEV_000006,MOBILE_ANDROID,2024-12-12T13:09:32,Android 14,FP_66b94d83e593fc8e
DEV_000007,DESKTOP_WINDOWS,2025-07-26T15:40:30,Windows 11,FP_6f2224849bedabaf
DEV_000008,MOBILE_ANDROID,2025-06-11T17:29:05,Android 13,FP_c7880d1d9bffeb91
DEV_000009,MOBILE_ANDROID,2025-08-11T09:07:47,Android 13,FP_bc1fe89a7bcd51a6
DEV_000010,DESKTOP_MAC,2025-02-01T18:11:31,macOS Sonoma,FP_2985976d4177d9cc
DEV_000011,MOBILE_ANDROID,2025-09-27T17:30:46,Android 14,FP_de24c00530bec23b
DEV_000012,MOBILE_IOS,2025-09-10T00:58:52,iOS 17.4,FP_7623fac203517b5d
DEV_000013,MOBILE_IOS,2025-04-19T07:31:17,iOS 17.4,FP_19791f974618e26e
DEV_000014,MOBILE_ANDROID,2025-08-02T09:20:54,Android 13,FP_89f8e8fae27d1229
DEV_000015,MOBILE_IOS,2025-02-12T06:22:03,iOS 16.6,FP_f79acf2e2097ade7
DEV_000016,MOBILE_IOS,2025-02-28T17:21:47,iOS 16.6,FP_b4ff9d72a4041332
DEV_000017,DESKTOP_WINDOWS,2025-02-23T21:09:19,Windows 11,FP_0b0e04033ff4f4c1
DEV_000018,DESKTOP_MAC,2025-02-07T10:48:06,macOS Sonoma,FP_59bd5a52d5425b9f
DEV_000019,MOBILE_IOS,2025-07-01T13:01:27,iOS 16.6,FP_006434c3259cd8c7
DEV_000020,DESKTOP_WINDOWS,2025-05-30T04:31:34,Windows 11,FP_45e4e53fd48490bd
DEV_000021,MOBILE_ANDROID,2024-12-01T18:10:25,Android 14,FP_8b87de8e81cd59af
DEV_000022,MOBILE_IOS,2025-01-23T17:23:26,iOS 17.4,FP_347510abf28682a6
DEV_000023,DESKTOP_WINDOWS,2025-02-18T00:58:22,Windows 11,FP_5bbdf619cb40a5be
DEV_000024,MOBILE_ANDROID,2025-06-20T20:19:14,Android 13,FP_173e0d33b1844a71
DEV_000025,DESKTOP_MAC,2024-12-05T00:29:23,macOS Sonoma,FP_3556c91f1162a428
DEV_000026,MOBILE_IOS,2024-12-23T04:27:36,iOS 16.6,FP_9a2fa49892a72265
DEV_000027,MOBILE_ANDROID,2024-11-29T20:14:41,Android 14,FP_bdac9964dbbe0455
DEV_000028,MOBILE_ANDROID,2025-07-21T23:08:16,Android 13,FP_8a88646a960f017c
DEV_000029,MOBILE_ANDROID,2024-12-31T20:33:50,Android 13,FP_07e83cd718e08b42
DEV_000030,DESKTOP_WINDOWS,2025-08-18T09:08:46,Windows 11,FP_c63a93c3b0c3581d
DEV_000031,DESKTOP_WINDOWS,2025-09-03T02:56:43,Windows 11,FP_f10452abd367bacb
DEV_000032,MOBILE_IOS,2025-05-24T03:47:24,iOS 16.6,FP_e3f027e52bdeb970
DEV_000033,DESKTOP_MAC,2025-06-09T06:44:53,macOS Sonoma,FP_4be574275c1ba2e2
DEV_000034,MOBILE_ANDROID,2025-01-11T11:17:21,Android 13,FP_d5a418ebc0b1c52a
DEV_000035,DESKTOP_MAC,2024-12-07T03:35:50,macOS Sonoma,FP_718d25f086be1a23
DEV_000036,MOBILE_IOS,2025-10-02T12:52:04,iOS 17.4,FP_2b51978dd497eea4
DEV_000037,MOBILE_IOS,2024-12-15T07:33:30,iOS 16.6,FP_2a01ab4ee11ec9cd
DEV_000038,MOBILE_IOS,2025-09-16T15:57:20,iOS 16.6,FP_d6ed4700fae1c301
DEV_000039,DESKTOP_MAC,2025-03-19T05:19:01,macOS Sonoma,FP_25c04f3a5a355818
DEV_000040,DESKTOP_MAC,2025-10-09T18:20:20,macOS Sonoma,FP_fe31b29ee841bb0f
DEV_000041,DESKTOP_MAC,2025-09-05T01:09:44,macOS Sonoma,FP_2cddcb76732261b2
DEV_000042,DESKTOP_MAC,2025-02-13T03:15:14,macOS Sonoma,FP_2f8a885e6d85cf1e
DEV_000043,MOBILE_ANDROID,2025-10-15T00:18:07,Android 14,FP_9952baff162a0de4
DEV_000044,DESKTOP_WINDOWS,2025-04-21T21:40:04,Windows 11,FP_62d3b3ed9a5c701a
DEV_000045,MOBILE_ANDROID,2025-10-19T08:43:38,Android 14,FP_51d38c4f7a5d6cc3
DEV_000046,MOBILE_ANDROID,2025-02-06T17:48:04,Android 13,FP_487a7b6cbfa96c2c
DEV_000047,MOBILE_ANDROID,2024-11-29T04:36:11,Android 14,FP_c36495eb29f398c3
DEV_000048,MOBILE_IOS,2025-11-01T12:03:11,iOS 16.6,FP_127d88f6cd79f6f3
DEV_000049,MOBILE_ANDROID,2025-11-07T20:50:20,Android 14,FP_2748e1cc679422b3
DEV_000050,DESKTOP_WINDOWS,2025-05-04T12:49:38,Windows 11,FP_1aa04b751b8990c1
DEV_000051,MOBILE_ANDROID,2024-12-05T20:10:44,Android 14,FP_599b2d3f62ea1b6d
DEV_000052,DESKTOP_WINDOWS,2025-03-12T22:02:53,Windows 11,FP_3bbfdd35a1037013
DEV_000053,MOBILE_IOS,2025-03-09T13:19:40,iOS 16.6,FP_cc71326c00203c49
DEV_000054,MOBILE_IOS,2025-09-12T14:01:01,iOS 16.6,FP_10883d3944b6a8b2
DEV_000055,DESKTOP_MAC,2025-03-26T06:10:54,macOS Sonoma,FP_7bd8b7cf710346fb
DEV_000056,MOBILE_IOS,2025-08-03T11:33:22,iOS 16.6,FP_d2eb41f47692121a
DEV_000057,MOBILE_IOS,2025-03-18T02:51:12,iOS 17.4,FP_11bf6e822659f6c5
DEV_000058,DESKTOP_MAC,2025-02-14T22:20:25,macOS Sonoma,FP_2659728990d0f8fe
DEV_000059,MOBILE_IOS,2025-01-09T23:19:22,iOS 16.6,FP_883d7e265d134e2f
DEV_000060,MOBILE_ANDROID,2025-11-18T01:02:54,Android 14,FP_649804b9b2be3ae5
DEV_000061,MOBILE_IOS,2025-09-19T02:09:38,iOS 17.4,FP_ce75287ff3262c12
DEV_000062,MOBILE_IOS,2025-06-12T09:46:10,iOS 16.6,FP_5c557a498905778c
DEV_000063,DESKTOP_WINDOWS,2025-05-28T21:46:41,Windows 11,FP_11b5725bf88b14eb
DEV_000064,MOBILE_IOS,2025-04-17T05:18:15,iOS 16.6,FP_373bdfbfc50a511d
DEV_000065,MOBILE_ANDROID,2025-06-27T19:46:48,Android 13,FP_0273bcc12391cbbe
DEV_000066,MOBILE_IOS,2025-02-04T07:03:20,iOS 17.4,FP_4693a950421e99db
DEV_000067,MOBILE_IOS,2025-09-28T04:00:50,iOS 16.6,FP_bd0d17f03750acc7
DEV_000068,MOBILE_ANDROID,2025-03-30T18:10:11,Android 14,FP_9615ac8a4a4eabe4
DEV_000069,DESKTOP_WINDOWS,2025-02-18T12:19:42,Windows 11,FP_78cf3ccf57b18222
DEV_000070,MOBILE_IOS,2025-06-27T06:51:18,iOS 17.4,FP_c85631b2ae096fa5
DEV_000071,MOBILE_IOS,2025-10-05T13:34:09,iOS 17.4,FP_c8d5c8a46caed2f4
DEV_000072,MOBILE_IOS,2025-05-30T01:21:56,iOS 17.4,FP_94cd296365bd0a96
DEV_000073,MOBILE_ANDROID,2024-12-20T21:32:04,Android 14,FP_562cfc73a8b3122f
DEV_000074,DESKTOP_MAC,2025-08-15T23:23:29,macOS Sonoma,FP_4e2efc15d28d92b5
DEV_000075,MOBILE_IOS,2025-08-28T17:31:14,iOS 17.4,FP_1129f84549487089
DEV_000076,MOBILE_ANDROID,2025-07-13T07:31:15,Android 14,FP_f348676052b31f70
DEV_000077,MOBILE_IOS,2025-11-19T20:27:23,iOS 16.6,FP_ef9c3649b006ab6c
DEV_000078,MOBILE_ANDROID,2024-12-04T11:57:48,Android 14,FP_b2cb0f558b861ed3
DEV_000079,DESKTOP_MAC,2025-04-20T00:48:48,macOS Sonoma,FP_d8593112f73751d1
DEV_000080,DESKTOP_WINDOWS,2025-04-15T23:35:46,Windows 11,FP_2316788ba8043f93
DEV_000081,MOBILE_ANDROID,2025-02-20T21:53:50,Android 14,FP_561319d3eee373bf
DEV_000082,MOBILE_ANDROID,2025-07-23T00:04:12,Android 14,FP_95773314ea02f398
DEV_000083,MOBILE_ANDROID,2025-01-13T17:28:11,Android 13,FP_bcef251a19c41b6f
DEV_000084,MOBILE_ANDROID,2025-03-18T08:42:49,Android 14,FP_25ba0d0872096662
DEV_000085,DESKTOP_MAC,2025-04-14T12:34:47,macOS Sonoma,FP_358b2a90afb8b3a6
DEV_000086,MOBILE_ANDROID,2025-04-05T21:10:08,Android 14,FP_a242e2e1233bf477
DEV_000087,DESKTOP_WINDOWS,2025-05-26T00:31:55,Windows 11,FP_25512f23fd806a5b
DEV_000088,MOBILE_ANDROID,2025-11-07T01:30:36,Android 14,FP_cac6b98c113cfa09
DEV_000089,DESKTOP_MAC,2025-03-29T01:50:08,macOS Sonoma,FP_dd7681d82ba1520a
DEV_000090,MOBILE_IOS,2025-04-16T13:37:07,iOS 16.6,FP_a36c36e232accc74
DEV_000091,MOBILE_ANDROID,2025-08-24T09:13:03,Android 13,FP_56092a4943a2fa17
DEV_000092,DESKTOP_WINDOWS,2025-01-07T17:38:19,Windows 11,FP_74d0623845bf5119
DEV_000093,MOBILE_ANDROID,2025-06-17T12:58:56,Android 14,FP_f23eb6ef5e535519
DEV_000094,MOBILE_IOS,2025-06-20T20:30:22,iOS 16.6,FP_36e8b88d66ee3847
DEV_000095,MOBILE_ANDROID,2025-07-12T10:29:03,Android 13,FP_48e892c537f3731b
DEV_000096,MOBILE_IOS,2025-07-29T12:14:54,iOS 16.6,FP_74f2c842a0da451f
DEV_000097,DESKTOP_MAC,2025-02-11T23:23:35,macOS Sonoma,FP_02f090d3ee04ad71
DEV_000098,MOBILE_ANDROID,2025-07-16T04:17:26,Android 13,FP_c442caf5232f6ddd
DEV_000099,DESKTOP_WINDOWS,2025-02-14T12:28:03,Windows 11,FP_344fedc5c1131171
DEV_000100,MOBILE_IOS,2025-09-26T18:27:56,iOS 16.6,FP_f009b6536c63a7cd
