ip_id,ip_address,ip_type,asn_org,country
IP_000001,128.87.3.89,DATACENTER,Hetzner Online GmbH,DE
IP_000002,128.88.4.90,DATACENTER,DigitalOcean Droplets,SG
IP_000003,103.89.5.91,CELLULAR,Jio 5G Mobile,IN
IP_000004,157.90.6.92,RESIDENTIAL,Tata Play Fiber,IN
IP_000005,117.91.7.93,RESIDENTIAL,JioFiber Commercial,IN
IP_000006,49.92.8.94,CELLULAR,Vodafone Idea Mobile,IN
IP_000007,157.93.9.95,RESIDENTIAL,JioFiber Commercial,IN
IP_000008,182.94.10.96,CELLULAR,Vodafone Idea Mobile,IN
IP_000009,49.95.11.97,RESIDENTIAL,JioFiber Commercial,IN
IP_000010,182.96.12.98,CELLULAR,Airtel 4G/5G,IN
IP_000011,49.97.13.99,RESIDENTIAL,JioFiber Commercial,IN
IP_000012,106.98.14.100,RESIDENTIAL,Airtel Broadband,IN
IP_000013,157.99.15.101,CELLULAR,Jio 5G Mobile,IN
IP_000014,106.100.16.102,RESIDENTIAL,Airtel Broadband,IN
IP_000015,117.101.17.103,DATACENTER,Google Cloud Compute,IN
IP_000016,49.102.18.104,RESIDENTIAL,Airtel Broadband,IN
IP_000017,103.103.19.105,RESIDENTIAL,Tata Play Fiber,IN
IP_000018,117.104.20.106,CELLULAR,Airtel 4G/5G,IN
IP_000019,128.105.21.107,DATACENTER,Hetzner Online GmbH,DE
IP_000020,117.106.22.108,CELLULAR,Jio 5G Mobile,IN
IP_000021,182.107.23.109,RESIDENTIAL,ACT Fibernet,IN
IP_000022,128.108.24.110,DATACENTER,Hetzner Online GmbH,DE
IP_000023,128.109.25.111,DATACENTER,Hetzner Online GmbH,DE
IP_000024,103.110.26.112,CELLULAR,Airtel 4G/5G,IN
IP_000025,106.111.27.113,CELLULAR,Airtel 4G/5G,IN
IP_000026,49.112.28.114,DATACENTER,Google Cloud Compute,IN
IP_000027,157.113.29.115,RESIDENTIAL,ACT Fibernet,IN
IP_000028,117.114.30.116,RESIDENTIAL,JioFiber Commercial,IN
IP_000029,49.115.31.117,RESIDENTIAL,Airtel Broadband,IN
IP_000030,157.116.32.118,RESIDENTIAL,ACT Fibernet,IN
IP_000031,117.117.33.119,RESIDENTIAL,JioFiber Commercial,IN
IP_000032,103.118.34.120,CELLULAR,Vodafone Idea Mobile,IN
IP_000033,103.119.35.121,CELLULAR,Vodafone Idea Mobile,IN
IP_000034,182.120.36.122,CELLULAR,Jio 5G Mobile,IN
IP_000035,49.121.37.123,RESIDENTIAL,ACT Fibernet,IN
IP_000036,106.122.38.124,RESIDENTIAL,JioFiber Commercial,IN
IP_000037,106.123.39.125,CELLULAR,Vodafone Idea Mobile,IN
IP_000038,117.124.40.126,RESIDENTIAL,JioFiber Commercial,IN
IP_000039,103.125.41.127,CELLULAR,Airtel 4G/5G,IN
IP_000040,182.126.42.128,RESIDENTIAL,Tata Play Fiber,IN
IP_000041,157.127.43.129,RESIDENTIAL,Tata Play Fiber,IN
IP_000042,157.128.44.130,RESIDENTIAL,Tata Play Fiber,IN
IP_000043,157.129.45.131,RESIDENTIAL,JioFiber Commercial,IN
IP_000044,106.130.46.132,RESIDENTIAL,Tata Play Fiber,IN
IP_000045,182.131.47.133,RESIDENTIAL,ACT Fibernet,IN
IP_000046,117.132.48.134,RESIDENTIAL,Airtel Broadband,IN
IP_000047,128.133.49.135,VPN_PROXY,Cloudflare WARP Anycast,US
IP_000048,106.134.50.136,CELLULAR,Airtel 4G/5G,IN
IP_000049,103.135.51.137,RESIDENTIAL,ACT Fibernet,IN
IP_000050,106.136.52.138,CELLULAR,Vodafone Idea Mobile,IN
IP_000051,106.137.53.139,CELLULAR,Vodafone Idea Mobile,IN
IP_000052,117.138.54.140,RESIDENTIAL,JioFiber Commercial,IN
IP_000053,128.139.55.141,VPN_PROXY,Cloudflare WARP Anycast,US
IP_000054,49.140.56.142,RESIDENTIAL,ACT Fibernet,IN
IP_000055,103.141.57.143,RESIDENTIAL,ACT Fibernet,IN
IP_000056,117.142.58.144,RESIDENTIAL,Tata Play Fiber,IN
IP_000057,182.143.59.145,RESIDENTIAL,Tata Play Fiber,IN
IP_000058,106.144.60.146,RESIDENTIAL,Airtel Broadband,IN
IP_000059,117.145.61.147,RESIDENTIAL,Tata Play Fiber,IN
IP_000060,117.146.62.148,RESIDENTIAL,ACT Fibernet,IN
IP_000061,117.147.63.149,RESIDENTIAL,ACT Fibernet,IN
IP_000062,103.148.64.150,RESIDENTIAL,Airtel Broadband,IN
IP_000063,157.149.65.151,CELLULAR,Jio 5G Mobile,IN
IP_000064,49.150.66.152,CELLULAR,Vodafone Idea Mobile,IN
IP_000065,117.151.67.153,CELLULAR,Vodafone Idea Mobile,IN
IP_000066,128.152.68.154,VPN_PROXY,Cloudflare WARP Anycast,US
IP_000067,106.153.69.155,RESIDENTIAL,Tata Play Fiber,IN
IP_000068,49.154.70.156,RESIDENTIAL,Tata Play Fiber,IN
IP_000069,103.155.71.157,RESIDENTIAL,Airtel Broadband,IN
IP_000070,106.156.72.158,RESIDENTIAL,JioFiber Commercial,IN
IP_000071,106.157.73.159,RESIDENTIAL,Tata Play Fiber,IN
IP_000072,49.158.74.160,CELLULAR,Vodafone Idea Mobile,IN
IP_000073,49.159.75.161,RESIDENTIAL,Tata Play Fiber,IN
IP_000074,49.160.76.162,RESIDENTIAL,Tata Play Fiber,IN
IP_000075,182.161.77.163,RESIDENTIAL,Tata Play Fiber,IN
IP_000076,157.162.78.164,RESIDENTIAL,Tata Play Fiber,IN
IP_000077,157.163.79.165,CELLULAR,Vodafone Idea Mobile,IN
IP_000078,106.164.80.166,CELLULAR,Jio 5G Mobile,IN
IP_000079,182.165.81.167,RESIDENTIAL,Airtel Broadband,IN
IP_000080,128.166.82.168,VPN_PROXY,ProtonVPN Transit,CH
IP_000081,182.167.83.169,CELLULAR,Jio 5G Mobile,IN
IP_000082,182.168.84.170,RESIDENTIAL,ACT Fibernet,IN
IP_000083,106.169.85.171,CELLULAR,Vodafone Idea Mobile,IN
IP_000084,128.170.86.172,VPN_PROXY,Nord Security Relays,SG
IP_000085,103.171.87.173,CELLULAR,Jio 5G Mobile,IN
IP_000086,49.172.88.174,CELLULAR,Vodafone Idea Mobile,IN
IP_000087,49.173.89.175,RESIDENTIAL,Airtel Broadband,IN
IP_000088,182.174.90.176,RESIDENTIAL,Airtel Broadband,IN
IP_000089,106.175.91.177,CELLULAR,Airtel 4G/5G,IN
IP_000090,182.176.92.178,RESIDENTIAL,Airtel Broadband,IN
IP_000091,157.177.93.179,RESIDENTIAL,JioFiber Commercial,IN
IP_000092,128.178.94.180,DATACENTER,DigitalOcean Droplets,SG
IP_000093,117.179.95.181,RESIDENTIAL,Tata Play Fiber,IN
IP_000094,49.180.96.182,RESIDENTIAL,ACT Fibernet,IN
IP_000095,117.181.97.183,RESIDENTIAL,Airtel Broadband,IN
IP_000096,117.182.98.184,CELLULAR,Jio 5G Mobile,IN
IP_000097,182.183.99.185,RESIDENTIAL,Tata Play Fiber,IN
IP_000098,182.184.100.186,RESIDENTIAL,JioFiber Commercial,IN
IP_000099,157.185.101.187,CELLULAR,Jio 5G Mobile,IN
IP_000100,49.186.102.188,CELLULAR,Jio 5G Mobile,IN
IP_000101,157.187.103.189,RESIDENTIAL,ACT Fibernet,IN
IP_000102,106.188.104.190,RESIDENTIAL,Airtel Broadband,IN
IP_000103,182.189.105.191,CELLULAR,Vodafone Idea Mobile,IN
IP_000104,106.190.106.192,RESIDENTIAL,Tata Play Fiber,IN
IP_000105,106.191.107.193,CELLULAR,Airtel 4G/5G,IN
IP_000106,117.192.108.194,CELLULAR,Vodafone Idea Mobile,IN
IP_000107,157.193.109.195,CELLULAR,Vodafone Idea Mobile,IN
IP_000108,157.194.110.196,RESIDENTIAL,Airtel Broadband,IN
IP_000109,157.195.111.197,RESIDENTIAL,Airtel Broadband,IN
IP_000110,182.196.112.198,RESIDENTIAL,JioFiber Commercial,IN
IP_000111,49.197.113.199,RESIDENTIAL,ACT Fibernet,IN
IP_000112,182.198.114.200,CELLULAR,Jio 5G Mobile,IN
IP_000113,106.199.115.201,CELLULAR,Vodafone Idea Mobile,IN
IP_000114,157.200.116.202,RESIDENTIAL,ACT Fibernet,IN
IP_000115,157.201.117.203,RESIDENTIAL,Tata Play Fiber,IN
