transaction_id,account_id,beneficiary_id,merchant_id,device_id,ip_id,timestamp,amount,transaction_type,status,channel,scenario_id,scenario_type,ground_truth_label
TXN_00000646,ACC_000054,BEN_000060,,DEV_000039,IP_000105,2026-01-01T00:40:18,1159.95,TRANSFER_P2P,SUCCESS,NETBANKING,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00000679,ACC_000175,BEN_000026,,DEV_000099,IP_000103,2026-01-01T00:42:23,1759.61,TRANSFER_P2P,SUCCESS,NETBANKING,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001702,ACC_000295,,MER_000048,DEV_000078,IP_000141,2026-01-01T00:52:51,1480.43,PAYMENT_P2M,SUCCESS,UPI,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001898,ACC_000253,,MER_000005,DEV_000064,IP_000048,2026-01-01T01:58:13,3656.8,PAYMENT_P2M,SUCCESS,NETBANKING,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001515,ACC_000288,BEN_000054,,DEV_000003,IP_000072,2026-01-01T02:03:07,480.11,TRANSFER_P2P,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00000438,ACC_000444,,MER_000044,DEV_000010,IP_000067,2026-01-01T03:47:36,496.6,PAYMENT_P2M,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001673,ACC_000297,,MER_000048,DEV_000014,IP_000003,2026-01-01T03:59:20,1208.76,PAYMENT_P2M,SUCCESS,NETBANKING,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001531,ACC_000009,,MER_000044,DEV_000071,IP_000068,2026-01-01T05:16:07,1053.95,PAYMENT_P2M,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001975,ACC_000357,,MER_000037,DEV_000051,IP_000043,2026-01-01T06:09:30,1847.33,PAYMENT_P2M,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001565,ACC_000345,,MER_000004,DEV_000065,IP_000058,2026-01-01T08:54:39,81.07,PAYMENT_P2M,SUCCESS,NETBANKING,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00000784,ACC_000187,,MER_000042,DEV_000083,IP_000126,2026-01-01T09:25:53,1092.57,PAYMENT_P2M,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00000328,ACC_000353,,MER_000022,DEV_000030,IP_000075,2026-01-01T09:39:44,120.31,PAYMENT_P2M,SUCCESS,UPI,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00000981,ACC_000204,,MER_000015,DEV_000046,IP_000107,2026-01-01T09:46:23,659.13,PAYMENT_P2M,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001432,ACC_000246,,MER_000029,DEV_000070,IP_000089,2026-01-01T11:41:05,1197.79,PAYMENT_P2M,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00000380,ACC_000301,BEN_000049,,DEV_000071,IP_000072,2026-01-01T12:21:09,856.12,TRANSFER_P2P,SUCCESS,NETBANKING,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00001003,ACC_000337,,MER_000048,DEV_000037,IP_000081,2026-01-01T16:43:50,1400.75,PAYMENT_P2M,SUCCESS,NETBANKING,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
TXN_00000595,ACC_000220,,MER_000046,DEV_000036,IP_000044,2026-01-01T16:45:19,613.0,PAYMENT_P2M,SUCCESS,CARD,SCEN_LEGIT_BASELINE,LEGITIMATE,legitimate
